tarih,sube_kodu,sube_adi,il,ilce,sube_tipi,kabul_edilen,teslim_edilen,bekleyen,geciken,iade_edilen,ortalama_teslim_suresi,toplam_personel,dagitici_sayisi,gise_personeli,izinli_personel,fazla_mesai_saati,sikayet_sayisi,basarisiz_teslimat,hasarli_gonderi,yanlis_teslimat,toplam_gelir,kargo_geliri,bankacilik_islem_sayisi,tahsilat_sayisi,hava_durumu,resmi_tatil,bayram_donemi,bolgesel_yogunluk,teslim_basarisi_pct,gecikme_orani_pct,iade_orani_pct,sikayet_orani_binde,personel_verimliligi,dagitici_is_yuku,gonderi_basi_gelir
2026-01-01,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,181,171,7,9,3,1.2,24,9,10,2,0.0,0,6,1,1,8265.84,6975.04,59,31,Açık,1,0,0.55,94.48,4.97,1.66,0.0,7.12,20.11,45.67
2026-01-01,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,188,174,10,10,4,1.22,21,8,8,0,0.0,2,6,0,0,9812.56,7922.71,98,44,Açık,1,0,0.55,92.55,5.32,2.13,11.49,8.29,23.5,52.19
2026-01-01,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,129,117,9,11,3,1.72,28,11,12,1,0.0,4,8,0,0,4935.87,4213.21,43,13,Yağmurlu,1,0,0.55,90.7,8.53,2.33,34.19,4.18,11.73,38.26
2026-01-01,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,154,141,11,13,2,1.63,25,10,10,4,0.0,6,8,0,0,7282.7,5742.51,67,36,Yağmurlu,1,0,0.55,91.56,8.44,1.3,42.55,5.64,15.4,47.29
2026-01-01,S005,İzmir Konak,İzmir,Konak,Merkez,226,213,9,12,4,1.38,23,9,9,2,0.0,1,4,1,0,11656.99,9353.65,95,48,Açık,1,0,0.55,94.25,5.31,1.77,4.69,9.26,25.11,51.58
2026-01-01,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,214,203,8,9,3,1.6,19,7,7,1,0.0,3,7,1,0,10997.19,8202.75,111,59,Bulutlu,1,0,0.55,94.86,4.21,1.4,14.78,10.68,30.57,51.39
2026-01-01,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,145,136,7,9,2,1.19,20,8,7,0,0.0,0,3,0,0,6534.97,5327.56,64,23,Açık,1,0,0.55,93.79,6.21,1.38,0.0,6.8,18.12,45.07
2026-01-01,S008,Konya Selçuklu,Konya,Selçuklu,Orta,159,147,8,8,4,1.76,16,6,5,3,5.1,2,6,1,0,7833.96,6138.26,65,25,Bulutlu,1,0,0.55,92.45,5.03,2.52,13.61,9.19,26.5,49.27
2026-01-01,S009,Samsun İlkadım,Samsun,İlkadım,Orta,196,185,10,10,1,1.72,15,6,4,3,13.4,2,3,1,0,10828.85,8655.35,103,42,Açık,1,0,0.55,94.39,5.1,0.51,10.81,12.33,32.67,55.25
2026-01-01,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,152,132,17,20,3,2.16,14,5,4,1,0.0,3,16,1,1,6104.74,4813.25,58,31,Karlı,1,0,0.55,86.84,13.16,1.97,22.73,9.43,30.4,40.16
